,location,total_sqft,bath,price,BHK,price_per_sqft_in_thousand
79,other,4400.0,6.0,250.0,6,5.681818181818182
80,other,1660.0,2.0,105.0,3,6.325301204819277
81,hennur road,3203.5,2.0,224.5,4,7.007960043702201
82,yelahanka,1326.0,2.0,78.0,2,5.882352941176471
83,other,1325.0,2.0,60.8,3,4.588679245283019
84,epip zone,1499.0,5.0,102.0,3,6.804536357571714
85,hegde nagar,3000.0,7.0,210.0,6,7.0
86,kanakpura road,1665.0,3.0,88.0,3,5.285285285285285
87,other,708.0,2.0,37.0,2,5.2259887005649714
88,kasavanhalli,1060.0,2.0,58.06,2,5.477358490566037
89,rajaji nagar,710.0,6.0,160.0,6,22.535211267605632
90,sanjay nagar,1000.0,2.0,70.0,2,7.0
91,electronic city,1000.0,2.0,28.88,2,2.888
92,other,1450.0,2.0,70.0,3,4.827586206896552
93,other,1200.0,4.0,155.0,4,12.916666666666666
94,thanisandra,1296.0,2.0,80.0,2,6.172839506172839
95,domlur,1540.0,3.0,90.0,3,5.8441558441558445
96,kengeri,2894.0,4.0,245.0,4,8.465791292328957
97,other,1330.0,2.0,48.0,3,3.6090225563909772
98,other,1200.0,2.0,65.0,2,5.416666666666667
99,other,1200.0,3.0,90.0,3,7.5
100,yeshwanthpur,2502.0,3.0,138.0,3,5.5155875299760195
101,chandapura,650.0,1.0,17.0,2,2.6153846153846154
102,kothanur,2400.0,2.0,150.0,3,6.25
103,other,1007.0,2.0,43.0,2,4.270109235352532
104,other,1200.0,2.0,50.0,2,4.166666666666667
105,other,966.0,2.0,49.9,2,5.165631469979296
106,nagarbhavi,1630.0,2.0,98.0,3,6.012269938650307
107,rajaji nagar,1640.0,3.0,229.0,3,13.963414634146341
108,other,782.0,2.0,55.68,2,7.120204603580563
109,devanahalli,1260.0,2.0,66.78,2,5.3
110,other,1800.0,3.0,120.0,3,6.666666666666667
111,other,1413.0,2.0,75.0,3,5.307855626326964
112,whitefield,1116.0,2.0,51.91,2,4.651433691756273
113,electronic city,1530.0,2.0,45.9,3,3.0
114,ramamurthy nagar,3700.0,4.0,225.0,4,6.081081081081081
115,sarjapur road,2497.0,3.0,140.0,3,5.606728073688426
116,kengeri,1540.0,2.0,64.0,3,4.1558441558441555
117,thanisandra,1436.0,3.0,74.75,3,5.205431754874652
118,malleshwaram,1100.0,2.0,75.0,2,6.818181818181818
120,thanisandra,1427.0,3.0,120.0,3,8.409250175192712
121,akshaya nagar,2061.0,3.0,200.0,3,9.70402717127608
122,hebbal,5611.5,4.0,477.0,4,8.500400962309543
123,other,2650.0,4.0,150.0,4,5.660377358490566
124,devanahalli,1282.0,2.0,68.52,3,5.344773790951638
125,kadugodi,1050.0,2.0,34.0,2,3.238095238095238
126,other,1600.0,3.0,65.0,3,4.0625
127,other,945.0,2.0,54.0,2,5.714285714285714
128,hormavu,1500.0,2.0,78.0,2,5.2
129,other,950.0,7.0,115.0,7,12.105263157894736
130,other,1870.0,3.0,110.0,3,5.882352941176471
131,sarjapur,1600.0,3.0,75.0,3,4.6875
132,electronic city,880.0,1.0,16.5,2,1.875
133,other,1200.0,4.0,210.0,4,17.5
134,kudlu gate,1535.0,3.0,83.0,3,5.407166123778501
135,kanakpura road,950.0,2.0,57.0,2,6.0
136,devanahalli,1360.0,2.0,65.0,2,4.779411764705882
137,8th phase jp nagar,1073.5,2.0,54.005,2,5.030740568234746
138,bommasandra industrial area,1280.0,3.0,50.4,3,3.9375
139,other,1260.0,2.0,85.05,3,6.75
140,hennur road,5000.0,8.0,250.0,8,5.0
141,yelahanka,3050.0,5.0,213.0,5,6.983606557377049
142,kasavanhalli,1563.05,3.0,105.0,3,6.717635392341895
143,other,1000.0,2.0,60.0,2,6.0
144,anandapura,1167.0,2.0,43.76,2,3.7497857754927164
145,other,4000.0,7.0,225.0,7,5.625
146,kothanur,1828.0,3.0,110.0,3,6.017505470459518
147,kengeri satellite town,890.0,2.0,35.0,2,3.932584269662921
148,other,1612.0,3.0,46.74,3,2.899503722084367
149,other,1034.0,5.0,185.0,6,17.891682785299807
150,mysore road,1710.0,4.0,91.31,3,5.339766081871345
151,other,957.0,2.0,58.0,2,6.0606060606060606
152,other,1250.0,2.0,44.0,3,3.52
153,other,2795.0,4.0,235.0,3,8.407871198568873
154,hulimavu,1125.0,2.0,50.0,2,4.444444444444445
155,electronic city phase ii,1020.0,2.0,30.6,2,3.0
156,kalena agrahara,1200.0,2.0,50.0,2,4.166666666666667
157,thanisandra,1735.0,3.0,135.0,3,7.780979827089337
158,thanisandra,2050.0,3.0,145.0,3,7.073170731707317
159,other,3750.0,4.0,760.0,4,20.266666666666666
160,other,1350.0,2.0,48.0,3,3.5555555555555554
161,hosa road,1063.0,2.0,32.0,2,3.0103480714957667
162,other,1904.0,3.0,150.0,3,7.878151260504202
163,whitefield,4200.0,4.0,420.0,4,10.0
164,other,2000.0,3.0,175.0,3,8.75
165,sarjapur,1242.5,2.0,43.49,2,3.5002012072434607
166,other,1425.0,2.0,75.0,3,5.2631578947368425
167,electronic city,1500.0,2.0,64.5,3,4.3
168,electronic city,1060.0,2.0,60.0,2,5.660377358490566
169,other,1470.0,2.0,70.0,3,4.761904761904762
170,other,1300.0,6.0,99.0,6,7.615384615384615
171,attibele,450.0,1.0,11.0,1,2.4444444444444446
172,electronic city,1152.0,2.0,64.5,2,5.598958333333333
173,electronic city,1350.0,2.0,56.0,3,4.148148148148148
174,cv raman nagar,1550.0,3.0,65.0,3,4.193548387096774
175,other,1500.0,3.0,100.0,3,6.666666666666667
176,kumaraswami layout,600.0,3.0,85.0,5,14.166666666666666
177,other,400.0,1.0,14.0,1,3.5
178,malleshwaram,705.0,1.0,67.0,1,9.50354609929078
179,electronic city,770.0,1.0,36.0,2,4.675324675324675
180,hulimavu,1242.0,2.0,51.0,2,4.106280193236715
181,hebbal kempapura,1700.0,3.0,155.0,3,9.117647058823529
182,thanisandra,2144.0,3.0,145.0,3,6.763059701492537
183,vijayanagar,1704.0,3.0,110.0,3,6.455399061032864
184,electronic city,1070.0,2.0,52.0,2,4.859813084112149
185,other,1846.0,3.0,300.0,3,16.251354279523294
186,other,1340.0,2.0,55.7,2,4.156716417910448
187,electronic city,1025.0,2.0,46.0,2,4.487804878048781
188,kr puram,1277.5,2.0,56.8,2,4.446183953033268
189,marathahalli,1200.0,2.0,52.0,2,4.333333333333333
190,kanakpura road,2250.0,4.0,110.0,4,4.888888888888889
191,other,1550.0,2.0,80.0,3,5.161290322580645
192,bellandur,1200.0,5.0,325.0,4,27.083333333333332
193,other,1800.0,7.0,250.0,7,13.88888888888889
194,marathahalli,1200.0,2.0,60.0,2,5.0
195,yelahanka,1327.0,2.0,98.0,2,7.385079125847777
196,kothanur,1186.0,2.0,58.0,2,4.8903878583473865
197,other,1783.0,3.0,115.0,3,6.449803701626473
198,hsr layout,1400.0,3.0,56.0,3,4.0
199,other,980.0,2.0,48.0,2,4.8979591836734695
200,epip zone,1285.0,2.0,82.0,2,6.381322957198444
201,other,912.0,2.0,70.0,3,7.675438596491228
202,whitefield,1225.0,2.0,47.6,2,3.8857142857142857
203,whitefield,1075.0,2.0,53.0,2,4.930232558139535
204,kadugodi,1260.0,2.0,54.0,3,4.285714285714286
205,yelahanka,1282.0,2.0,48.7,3,3.798751950078003
206,kogilu,1909.0,3.0,88.0,3,4.609743321110529
207,panathur,1359.0,2.0,87.0,2,6.401766004415011
208,other,1207.0,2.0,43.5,2,3.603976801988401
209,padmanabhanagar,1736.0,6.0,190.0,4,10.944700460829493
210,other,2850.0,4.0,428.0,4,15.017543859649123
211,kammasandra,1595.0,3.0,65.0,3,4.075235109717869
212,other,1798.0,3.0,89.0,3,4.949944382647386
213,electronics city phase 1,1475.0,3.0,78.29,3,5.3077966101694924
214,other,1580.0,3.0,100.0,3,6.329113924050633
215,other,1295.0,2.0,65.0,2,5.019305019305019
216,magadi road,3600.0,6.0,141.0,6,3.9166666666666665
217,electronic city,589.0,1.0,27.0,1,4.584040747028863
218,other,1415.0,3.0,78.0,3,5.512367491166078
219,sarjapur road,1787.0,3.0,98.29,3,5.500279798545048
220,sarjapur road,1787.0,3.0,125.0,3,6.9949636261891435
221,koramangala,1475.0,2.0,90.0,3,6.101694915254237
222,other,2000.0,4.0,75.5,4,3.775
223,sarjapur road,984.0,2.0,44.28,2,4.5
224,devanahalli,1630.0,2.0,74.82,3,4.590184049079754
225,other,2405.0,4.0,260.0,3,10.81081081081081
226,7th phase jp nagar,1080.0,2.0,72.0,2,6.666666666666667
227,other,1500.0,2.0,115.0,2,7.666666666666667
228,hebbal,1900.0,3.0,119.0,3,6.2631578947368425
229,other,805.0,2.0,22.14,2,2.7503105590062114
230,budigere,1153.0,2.0,56.4,2,4.891587163920208
231,other,1148.0,2.0,60.0,2,5.2264808362369335
232,other,1110.0,2.0,55.0,2,4.954954954954955
233,electronic city,1100.0,2.0,42.0,2,3.8181818181818183
234,other,1290.0,2.0,110.0,2,8.527131782945736
235,other,1500.0,2.0,65.0,3,4.333333333333333
236,other,1080.0,2.0,39.0,2,3.611111111111111
237,vijayanagar,1933.0,3.0,129.0,3,6.673564407656492
238,ramamurthy nagar,3500.0,5.0,150.0,5,4.285714285714286
239,other,1060.0,2.0,60.0,2,5.660377358490566
240,chandapura,645.0,1.0,16.45,1,2.550387596899225
241,other,2600.0,8.0,180.0,8,6.923076923076923
242,chandapura,645.0,1.0,16.45,1,2.550387596899225
243,other,1644.0,3.0,84.0,3,5.109489051094891
244,other,1285.0,2.0,72.5,2,5.642023346303502
245,electronic city,1200.0,3.0,90.0,3,7.5
246,electronic city,910.0,2.0,40.0,2,4.395604395604396
247,kothanur,1577.0,3.0,70.0,3,4.438807863031071
248,other,4050.0,3.0,280.0,3,6.91358024691358
249,other,2420.0,3.0,185.0,3,7.644628099173554
250,chandapura,800.0,1.0,20.0,2,2.5
251,other,1060.0,2.0,55.0,2,5.188679245283019
252,7th phase jp nagar,1270.0,2.0,93.0,2,7.322834645669292
253,other,900.0,2.0,22.5,2,2.5
254,other,1280.0,2.0,69.0,2,5.390625
255,horamavu agara,1200.0,2.0,95.0,4,7.916666666666667
256,sarjapur road,1025.0,2.0,36.0,2,3.5121951219512195
257,electronic city,1108.0,2.0,63.0,2,5.6859205776173285
258,other,1200.0,5.0,170.0,5,14.166666666666666
259,other,3045.0,3.0,170.0,3,5.582922824302135
260,ambedkar nagar,2900.0,3.0,300.0,4,10.344827586206897
261,vijayanagar,1500.0,3.0,75.5,3,5.033333333333333
262,raja rajeshwari nagar,1295.0,2.0,43.9,2,3.38996138996139
263,budigere,1162.0,2.0,59.9,2,5.154905335628227
264,sarjapur road,1035.0,2.0,49.2,2,4.753623188405797
265,attibele,1600.0,4.0,52.8,4,3.3
266,other,1464.0,3.0,46.0,3,3.1420765027322406
267,hennur road,1866.0,2.0,61.58,3,3.30010718113612
268,other,700.0,1.0,26.0,2,3.7142857142857144
269,kalena agrahara,1804.0,3.0,120.0,3,6.651884700665189
270,sarjapur,913.0,2.0,32.0,2,3.5049288061336252
271,talaghattapura,1868.0,3.0,131.0,3,7.012847965738758
272,kengeri satellite town,883.0,2.0,45.0,2,5.096262740656852
273,other,900.0,2.0,110.0,2,12.222222222222221
274,kogilu,1664.0,2.0,73.95,3,4.444110576923077
275,hegde nagar,2026.0,3.0,132.0,3,6.5153010858835145
276,balagere,1210.0,2.0,80.9,2,6.685950413223141
277,other,4111.0,4.0,250.0,4,6.0812454390659205
278,kadugodi,1762.0,3.0,91.45,3,5.1901248581157775
279,jigani,1252.0,3.0,55.0,3,4.39297124600639
280,other,861.0,2.0,34.5,2,4.006968641114983
281,7th phase jp nagar,1420.0,2.0,100.0,3,7.042253521126761
282,other,1450.0,6.0,250.0,6,17.24137931034483
283,electronics city phase 1,1490.0,3.0,78.8,3,5.2885906040268456
284,bisuvanahalli,1075.0,2.0,46.0,3,4.27906976744186
285,old madras road,1425.0,2.0,94.0,3,6.5964912280701755
286,kalena agrahara,1200.0,2.0,40.0,2,3.3333333333333335
287,kaggadasapura,1280.0,2.0,56.0,3,4.375
288,other,1084.0,2.0,50.0,2,4.612546125461255
289,chandapura,1015.0,2.0,25.88,2,2.549753694581281
290,kanakpura road,1017.0,2.0,51.25,2,5.039331366764995
291,haralur road,1027.0,2.0,44.0,2,4.284323271665044
292,electronic city phase ii,1069.0,2.0,45.0,2,4.209541627689429
293,hebbal,1349.0,2.0,98.2,2,7.279466271312083
294,9th phase jp nagar,1005.0,2.0,50.0,2,4.975124378109452
295,jakkur,1417.0,2.0,75.0,2,5.292872265349329
296,tc palaya,1475.0,3.0,98.0,3,6.6440677966101696
297,other,950.0,2.0,47.0,2,4.947368421052632
298,other,2000.0,4.0,120.0,4,6.0
299,other,880.0,3.0,140.0,3,15.909090909090908
300,sarjapur road,1863.0,3.0,104.0,4,5.58239398819109
301,singasandra,1010.0,2.0,29.5,2,2.9207920792079207
302,kalena agrahara,1425.0,2.0,70.0,3,4.912280701754386
303,vijayanagar,1450.0,3.0,100.0,3,6.896551724137931
304,kothanur,1847.0,3.0,105.0,3,5.68489442338928
305,other,1100.0,2.0,45.0,2,4.090909090909091
306,kanakpura road,525.0,1.0,26.0,1,4.9523809523809526
307,other,1665.0,3.0,95.0,3,5.7057057057057055
308,other,1664.0,4.0,65.0,4,3.90625
309,jp nagar,1850.0,3.0,150.0,3,8.108108108108109
310,panathur,1438.0,2.0,100.0,2,6.954102920723226
311,other,1560.0,3.0,115.0,3,7.371794871794871
312,yelahanka,1350.0,2.0,55.55,2,4.114814814814815
313,kanakpura road,1550.0,3.0,67.0,3,4.32258064516129
314,other,1140.0,2.0,46.5,2,4.078947368421052
315,other,1200.0,5.0,180.0,5,15.0
316,other,850.0,2.0,27.0,2,3.176470588235294
317,whitefield,1280.0,2.0,75.0,2,5.859375
318,munnekollal,1170.0,2.0,52.0,2,4.444444444444445
319,other,1113.0,2.0,51.0,2,4.5822102425876015
320,hennur road,1385.0,2.0,83.09,2,5.99927797833935
321,electronic city,1128.0,2.0,65.0,2,5.76241134751773
322,marathahalli,1200.0,2.0,128.0,2,10.666666666666666
323,other,1200.0,4.0,165.0,4,13.75
324,rajaji nagar,2390.0,3.0,415.0,3,17.364016736401673
325,other,2400.0,4.0,400.0,4,16.666666666666668
326,haralur road,1464.0,3.0,56.0,3,3.8251366120218577
327,other,1200.0,2.0,55.0,2,4.583333333333333
328,kaval byrasandra,1200.0,2.0,52.0,2,4.333333333333333
329,other,1150.0,2.0,55.0,3,4.782608695652174
330,other,1645.0,3.0,95.0,3,5.775075987841945
331,sarjapur road,1000.0,2.0,67.0,2,6.7
332,haralur road,2650.0,4.0,198.0,4,7.471698113207547
333,6th phase jp nagar,1192.0,2.0,74.0,2,6.208053691275167
334,ulsoor,2135.0,3.0,215.0,3,10.070257611241217
335,whitefield,1173.0,2.0,58.0,2,4.94458653026428
336,uttarahalli,1020.0,2.0,45.0,2,4.411764705882353
337,thigalarapalya,3122.0,6.0,230.0,4,7.367072389493914
338,somasundara palya,1600.0,3.0,64.0,3,4.0
339,other,1200.0,2.0,79.0,2,6.583333333333333
340,other,1230.0,2.0,48.0,2,3.902439024390244
341,other,1250.0,2.0,40.0,2,3.2
342,kalena agrahara,1325.0,2.0,76.0,2,5.735849056603773
343,7th phase jp nagar,1850.0,3.0,150.0,3,8.108108108108109
344,kanakpura road,525.0,2.0,21.53,1,4.100952380952381
345,basaveshwara nagar,1200.0,2.0,65.0,2,5.416666666666667
346,other,1350.0,2.0,140.0,3,10.37037037037037
347,bommasandra,1260.0,3.0,49.36,3,3.9174603174603173
348,other,1800.0,3.0,150.0,3,8.333333333333334
350,ardendale,1100.0,2.0,43.25,2,3.9318181818181817
351,harlur,1508.0,2.0,77.0,2,5.106100795755968
352,other,1592.0,3.0,75.0,3,4.711055276381909
353,akshaya nagar,1388.0,2.0,57.0,2,4.106628242074928
354,electronic city phase ii,630.0,1.0,28.35,1,4.5
355,other,2000.0,3.0,365.0,3,18.25
356,other,1762.0,3.0,125.0,3,7.094211123723042
357,other,950.0,2.0,50.0,2,5.2631578947368425
358,other,3252.0,5.0,335.0,4,10.301353013530136
359,magadi road,1116.0,2.0,50.0,2,4.480286738351254
360,other,1308.0,2.0,89.04,2,6.807339449541284
361,other,1200.0,3.0,90.0,3,7.5
362,other,1500.0,4.0,230.0,4,15.333333333333334
363,bannerghatta road,500.0,1.0,18.5,1,3.7
364,hennur,1075.0,2.0,52.0,2,4.837209302325581
365,chandapura,530.0,1.0,11.66,1,2.2
366,bellandur,1205.0,2.0,66.0,2,5.477178423236515
367,5th phase jp nagar,1075.0,2.0,60.0,2,5.5813953488372094
368,kr puram,930.0,2.0,39.0,2,4.193548387096774
369,balagere,1380.0,2.0,60.0,2,4.3478260869565215
370,hebbal,2483.0,5.0,212.0,4,8.538058799838904
371,other,1166.0,2.0,55.0,2,4.716981132075472
372,bannerghatta road,1050.0,2.0,65.0,2,6.190476190476191
373,other,2023.71,3.0,275.0,3,13.588903548433324
374,begur road,1200.0,2.0,46.8,2,3.9
375,lakshminarayana pura,1600.0,2.0,108.0,3,6.75
376,other,1935.0,3.0,110.0,3,5.684754521963824
377,8th phase jp nagar,451.0,1.0,29.9,1,6.629711751662971
378,electronic city,1800.0,3.0,95.0,3,5.277777777777778
379,jalahalli,1400.0,3.0,77.0,3,5.5
380,hegde nagar,1801.0,3.0,115.0,3,6.385341476957246
381,mahadevpura,1451.0,2.0,90.0,2,6.202618883528601
382,anekal,1200.0,1.0,36.0,2,3.0
383,begur road,1160.0,2.0,44.0,2,3.793103448275862
384,kengeri,1000.0,2.0,25.0,2,2.5
385,kanakpura road,950.0,2.0,40.0,2,4.2105263157894735
386,other,1629.0,3.0,79.0,3,4.849600982197667
387,vijayanagar,1580.0,2.0,134.0,3,8.481012658227849
388,vijayanagar,1826.0,3.0,121.0,3,6.626506024096385
389,7th phase jp nagar,1245.0,2.0,94.0,2,7.550200803212851
390,raja rajeshwari nagar,1145.0,2.0,45.79,2,3.999126637554585
391,other,825.0,2.0,33.0,2,4.0
392,yeshwanthpur,1693.0,3.0,108.0,3,6.379208505611341
393,electronics city phase 1,1113.27,2.0,53.0,2,4.7607498630161595
394,other,1460.0,2.0,58.0,2,3.9726027397260273
395,doddathoguru,1050.0,2.0,32.0,2,3.0476190476190474
396,dodda nekkundi,1260.0,2.0,55.0,2,4.365079365079365
397,other,700.0,3.0,120.0,6,17.142857142857142
398,hosur road,1656.0,2.0,120.0,2,7.246376811594203
399,chandapura,1208.0,3.0,45.0,3,3.725165562913907
400,whitefield,1910.0,3.0,161.0,3,8.429319371727749
401,whitefield,3252.0,4.0,230.0,4,7.072570725707257
402,battarahalli,1200.0,2.0,65.0,2,5.416666666666667
403,other,1200.0,4.0,175.0,4,14.583333333333334
404,7th phase jp nagar,1175.0,2.0,82.0,2,6.9787234042553195
405,other,1000.0,2.0,165.0,2,16.5
406,bannerghatta road,1200.0,2.0,125.0,4,10.416666666666666
407,rajaji nagar,2390.0,3.0,410.0,3,17.15481171548117
408,rajaji nagar,12000.0,6.0,2200.0,7,18.333333333333332
409,other,550.0,1.0,62.0,2,11.272727272727273
410,kengeri,1276.0,1.0,18.5,1,1.4498432601880877
411,other,1185.0,2.0,38.0,2,3.2067510548523206
412,kengeri,750.0,2.0,38.0,2,5.066666666666666
413,other,1200.0,7.0,250.0,6,20.833333333333332
414,kanakpura road,1550.0,3.0,64.5,3,4.161290322580645
415,other,1760.0,3.0,88.0,3,5.0
416,other,1125.0,2.0,62.0,2,5.511111111111111
417,nagarbhavi,1350.0,3.0,150.0,3,11.11111111111111
418,anandapura,1000.0,2.0,55.0,2,5.5
419,bommasandra industrial area,1090.0,2.0,31.48,2,2.8880733944954127
420,tc palaya,1200.0,2.0,60.0,2,5.0
421,budigere,1991.0,4.0,103.0,3,5.173279758915118
422,bommasandra,1060.0,2.0,26.5,2,2.5
423,ambalipura,1105.0,2.0,75.0,2,6.787330316742081
424,hoodi,985.0,2.0,67.0,2,6.802030456852792
425,chandapura,1533.0,5.0,85.0,6,5.544683626875408
426,balagere,1590.0,3.0,79.0,3,4.968553459119497
427,cv raman nagar,1120.0,2.0,55.0,2,4.910714285714286
428,other,1069.0,2.0,55.0,2,5.144995322731525
429,marathahalli,1933.0,3.0,140.0,3,7.242628039317124
430,hosur road,1194.0,2.0,69.0,2,5.778894472361809
431,brookefield,1150.0,2.0,69.0,2,6.0
432,other,1240.0,2.0,47.12,2,3.8
433,raja rajeshwari nagar,1419.0,2.0,48.1,2,3.389711064129669
434,7th phase jp nagar,1200.0,8.0,250.0,8,20.833333333333332
435,other,2150.0,4.0,240.0,3,11.162790697674419
436,other,1450.0,3.0,55.0,3,3.793103448275862
437,other,1630.0,3.0,68.29,3,4.18957055214724
438,other,708.0,1.0,40.0,2,5.649717514124294
439,kasavanhalli,1000.0,4.0,110.0,3,11.0
440,whitefield,11890.0,4.0,700.0,4,5.887300252312868
441,bellandur,1250.0,2.0,76.0,2,6.08
442,7th phase jp nagar,1400.0,2.0,95.0,3,6.785714285714286
443,sarjapur road,1670.0,2.0,57.0,3,3.413173652694611
444,ardendale,1750.0,3.0,100.0,3,5.714285714285714
445,vittasandra,1404.0,2.0,71.0,2,5.056980056980057
446,hoodi,1715.0,2.0,95.0,3,5.539358600583091
447,electronic city,630.0,1.0,34.65,1,5.5
448,harlur,1752.12,3.0,135.0,3,7.704951715635915
449,hulimavu,1650.0,3.0,78.0,3,4.7272727272727275
450,raja rajeshwari nagar,1295.0,2.0,55.47,2,4.283397683397683
451,other,1800.0,3.0,252.0,3,14.0
452,sarjapur road,1346.0,2.0,74.03,2,5.5
453,other,1200.0,4.0,200.0,4,16.666666666666668
454,hormavu,1150.0,2.0,55.0,2,4.782608695652174
455,other,3309.0,4.0,325.0,4,9.821698398307646
456,chandapura,1190.0,2.0,30.35,3,2.5504201680672267
457,other,1620.0,3.0,98.0,3,6.049382716049383
458,marathahalli,950.0,2.0,46.96,2,4.943157894736842
459,other,5000.0,9.0,360.0,11,7.2
460,harlur,2450.0,3.0,120.0,3,4.8979591836734695
461,electronic city phase ii,1220.0,2.0,35.23,3,2.8877049180327865
462,other,850.0,2.0,30.0,2,3.5294117647058822
463,padmanabhanagar,1020.0,2.0,63.0,2,6.176470588235294
464,chikkalasandra,1100.0,2.0,50.0,2,4.545454545454546
465,other,1150.0,2.0,126.0,2,10.956521739130435
466,hebbal,1760.0,2.0,130.0,3,7.386363636363637
467,ambalipura,1800.0,3.0,110.0,3,6.111111111111111
468,akshaya nagar,1070.0,2.0,54.0,2,5.046728971962617
469,2nd stage nagarbhavi,1500.0,4.0,220.0,4,14.666666666666666
470,vidyaranyapura,1440.0,2.0,95.0,2,6.597222222222222
471,amruthahalli,900.0,2.0,40.0,2,4.444444444444445
472,other,1200.0,4.0,230.0,4,19.166666666666668
473,whitefield,1130.0,2.0,42.16,2,3.7309734513274337
474,koramangala,1320.0,2.0,165.0,2,12.5
475,other,1270.0,2.0,98.0,2,7.716535433070866
476,other,1200.0,2.0,62.0,2,5.166666666666667
